step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.852870969963499,12,50.0
120,121.0,84,9.57269051536158,21,145.0
130,131.0,90,10.159444830112033,18,195.0
140,141.0,99,9.171377921970974,17,166.0
150,151.0,105,9.57283241704463,15,147.0
160,161.0,111,9.291509776803776,23,136.0
170,171.0,113,9.86498540578008,26,171.0
180,181.0,119,9.492593779164777,23,118.0
190,191.0,126,9.28575104653272,26,180.0
200,201.0,132,10.10902482211395,23,182.0
210,211.0,135,9.854460311947198,26,257.0
220,221.0,140,9.267592151714698,26,237.0
230,231.0,146,8.945340029814046,35,357.0
240,241.0,149,8.4374322001171,29,332.0
250,251.0,153,9.447641195975939,27,374.0
260,261.0,155,9.43072370155709,34,543.0
270,271.0,155,9.103052282250664,29,374.0
280,281.0,151,9.707090924881227,26,130.0
290,291.0,155,9.902658801476587,37,327.0
300,301.0,155,9.559001377936237,21,163.0
310,311.0,160,10.123139584688694,23,141.0
320,321.0,158,10.03184532130895,28,266.0
330,331.0,162,9.84140586433023,25,189.0
340,341.0,162,9.003468840399808,38,255.0
350,351.0,164,8.897013993301979,39,413.0
360,361.0,161,9.127017068429305,29,229.0
370,371.0,167,9.438202583935102,41,414.0
380,381.0,161,8.09901321060127,43,433.0
390,391.0,163,8.110040095884427,35,332.0
400,401.0,164,8.094654062530877,42,239.0
410,411.0,165,8.043594076372756,55,495.0
420,421.0,166,8.041514069163073,38,521.0
430,431.0,164,8.439791108062463,33,399.0
440,441.0,160,8.360727447166468,45,529.0
450,451.0,164,8.210773987821021,55,642.0
460,461.0,166,9.073409138831167,32,256.0
470,471.0,165,8.949344610397063,34,247.0
480,481.0,164,9.231166141939129,47,472.0
490,491.0,167,8.560464938148712,40,438.0
500,501.0,172,8.817204174343596,38,290.0
