step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.65843487524461,12,50.0
120,121.0,84,9.771896289429133,21,157.0
130,131.0,90,10.019498061101709,20,236.0
140,141.0,99,8.812919807459584,20,277.0
150,151.0,104,9.720309115965096,22,247.0
160,161.0,110,10.112172369869304,17,69.0
170,171.0,113,10.365821536624509,19,62.0
180,181.0,119,9.52379304169175,23,149.0
190,191.0,126,8.741408896052043,29,199.0
200,201.0,128,9.463726776082728,23,190.0
210,211.0,135,10.10057224485807,23,193.0
220,221.0,138,9.265189019461838,30,255.0
230,231.0,144,8.761373815042226,31,297.0
240,241.0,148,8.730755846247444,28,328.0
250,251.0,151,9.1066237246077,36,524.0
260,261.0,156,8.315829330715165,47,804.0
270,271.0,156,8.790267499856329,32,305.0
280,281.0,157,9.182169192415865,31,205.0
290,291.0,159,9.748180759957068,35,254.0
300,301.0,159,9.600233618864346,32,342.0
310,311.0,162,9.15641280332863,31,259.0
320,321.0,159,9.4266196692352,37,352.0
330,331.0,163,10.254291830816689,24,251.0
340,341.0,165,10.04142227079196,28,233.0
350,351.0,165,9.731685829254637,31,347.0
360,361.0,161,9.806835417259764,26,191.0
370,371.0,165,9.311982033541362,38,254.0
380,381.0,163,9.284817193907287,35,241.0
390,391.0,162,9.132865450591897,30,344.0
400,401.0,164,8.72533722361425,36,276.0
410,411.0,166,8.410927971006494,48,374.0
420,421.0,163,8.002914830336236,42,513.0
430,431.0,163,8.393006019326915,30,269.0
440,441.0,163,8.672040118577085,43,204.0
450,451.0,159,8.884283682221119,43,383.0
460,461.0,160,8.540003464858733,47,516.0
470,471.0,165,8.769309848644319,43,588.0
480,481.0,168,8.347977908748565,61,874.0
490,491.0,173,7.793117545661932,59,1002.0
