step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.65843487524461,12,50.0
120,121.0,84,10.026547065788389,19,141.0
130,131.0,90,10.449588281623797,18,200.0
140,141.0,99,9.026147538869582,21,258.0
150,151.0,104,9.27737299331378,26,366.0
160,161.0,110,9.402671658391862,19,84.0
170,171.0,115,9.939641070334964,22,65.0
180,181.0,121,10.029430167764891,24,155.0
190,191.0,126,8.547678995935144,30,190.0
200,201.0,129,9.211573629815808,23,129.0
210,211.0,135,9.972893317718276,28,218.0
220,221.0,140,9.165929057201511,27,304.0
230,231.0,146,9.299402075684496,33,385.0
240,241.0,149,8.404685608911166,35,378.0
250,251.0,154,9.012443462259707,33,511.0
260,261.0,156,8.348644624768802,42,743.0
270,271.0,157,9.470833950986842,26,269.0
280,281.0,156,9.373191619372909,31,198.0
290,291.0,157,9.159040651580984,39,405.0
300,301.0,159,8.756550908334143,45,613.0
310,311.0,160,9.372838578892383,23,167.0
320,321.0,154,9.904872307693132,29,260.0
330,331.0,162,9.958828253825917,28,303.0
340,341.0,160,9.881192304094702,27,301.0
350,351.0,162,9.730599390825903,30,385.0
360,361.0,162,9.359652723396946,30,256.0
370,371.0,166,9.765392880833364,30,149.0
380,381.0,163,9.4137855904835,35,246.0
390,391.0,165,9.131729172172918,34,313.0
400,401.0,165,8.395608421423766,47,394.0
410,411.0,163,8.456732899557254,44,279.0
420,421.0,162,8.455401785939603,36,285.0
430,431.0,163,8.421040019092503,39,305.0
440,441.0,164,8.088674808232538,46,449.0
450,451.0,165,8.807878624633995,37,351.0
460,461.0,166,9.197974819623399,41,416.0
470,471.0,166,9.424586512788798,32,440.0
480,481.0,172,9.027578201317155,45,440.0
490,491.0,173,8.476193992002141,54,706.0
500,501.0,177,8.390926458426716,37,340.0
