step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.594076062364746,12,50.0
120,121.0,84,9.901469341592591,18,147.0
130,131.0,90,10.236511152840192,17,197.0
140,141.0,99,8.813573091183883,22,263.0
150,151.0,105,9.58351501743284,18,89.0
160,161.0,111,9.524907311428318,20,106.0
170,171.0,113,10.174272047941992,14,27.0
180,181.0,119,9.71507844283352,23,118.0
190,191.0,125,9.584220060665483,25,211.0
200,201.0,129,10.07572697030336,17,119.0
210,211.0,135,10.530536424388393,20,140.0
220,221.0,140,9.90274655754478,25,173.0
230,231.0,145,9.213185266130262,28,186.0
240,241.0,148,8.445119659991612,31,251.0
250,251.0,151,9.178781110308151,35,302.0
260,261.0,156,7.658967094120408,49,383.0
270,271.0,154,8.204657282952706,35,333.0
280,281.0,154,9.223732162289917,37,288.0
290,291.0,158,9.897045395892661,33,358.0
300,301.0,157,9.175131671980395,40,519.0
310,311.0,157,8.97538610362743,25,212.0
320,321.0,159,8.916519450174553,37,200.0
330,331.0,163,10.509755299393834,20,194.0
340,341.0,164,10.40774216772527,30,273.0
350,351.0,164,9.220475091069956,27,196.0
360,361.0,162,9.132366577883985,40,322.0
370,371.0,166,9.502129512653429,33,308.0
380,381.0,161,9.550026855842967,32,343.0
390,391.0,159,9.008613603244816,35,203.0
400,401.0,164,7.9789036720132565,50,373.0
410,411.0,164,8.29037165496246,39,318.0
420,421.0,164,8.291203185836562,38,293.0
430,431.0,165,8.892505792952322,34,253.0
440,441.0,167,8.540174522691569,39,262.0
450,451.0,167,9.094378825197628,47,483.0
460,461.0,162,8.981500716661158,41,583.0
470,471.0,163,8.948113016754714,38,544.0
480,481.0,166,8.682467599532744,48,688.0
490,491.0,170,8.691767859903889,53,949.0
