step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.852870969963499,12,50.0
120,121.0,84,9.25866707497558,24,171.0
130,131.0,90,9.751273174957072,21,265.0
140,141.0,99,8.237028677742174,28,329.0
150,151.0,105,8.636948179817175,26,262.0
160,161.0,111,9.298854091235196,23,136.0
170,171.0,115,9.90871867336748,22,148.0
180,181.0,121,9.514585791386581,25,194.0
190,191.0,127,9.235989546786252,25,193.0
200,201.0,132,10.509095352190549,20,181.0
210,211.0,136,10.280758848222906,22,221.0
220,221.0,142,9.322663994583605,26,194.0
230,231.0,146,8.886110625076594,39,393.0
240,241.0,150,9.075575888450958,31,516.0
250,251.0,152,9.146131841577873,31,514.0
260,261.0,156,7.526095147718386,52,820.0
270,271.0,158,8.017599905293606,37,375.0
280,281.0,157,8.960596864188362,38,286.0
290,291.0,157,8.925542964431783,45,555.0
300,301.0,158,9.463063518656396,25,292.0
310,311.0,161,9.373828183789486,33,371.0
320,321.0,158,9.853302022389588,35,436.0
330,331.0,166,9.751551235580182,24,170.0
340,341.0,165,9.551999494236686,33,229.0
350,351.0,162,9.15738024923018,37,307.0
360,361.0,160,8.77810607924195,40,387.0
370,371.0,165,9.182991692197982,38,534.0
380,381.0,163,9.020416819156795,33,353.0
390,391.0,168,8.552905513622116,46,421.0
400,401.0,172,8.245643417512065,48,609.0
410,411.0,171,8.071501327071951,46,316.0
420,421.0,173,8.161415457818155,37,248.0
430,431.0,173,9.601744720408725,28,247.0
440,441.0,175,9.175666338043246,41,339.0
450,451.0,171,9.325903240979132,40,533.0
460,461.0,168,8.960826075948468,38,449.0
470,471.0,170,9.032218060625663,42,576.0
480,481.0,172,8.28790747220798,58,847.0
490,491.0,171,8.138770455514033,39,564.0
500,501.0,174,9.030355924920888,36,599.0
