step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.478062016444815,14,55.0
120,121.0,84,9.229210183173649,20,161.0
130,131.0,90,9.45445707199326,20,190.0
140,141.0,99,8.725957536191547,18,194.0
150,151.0,105,10.17094122172989,17,91.0
160,161.0,111,10.05704104493081,16,88.0
170,171.0,114,10.340658045691795,18,61.0
180,181.0,120,9.309964388580443,26,177.0
190,191.0,126,8.203392705034249,35,307.0
200,201.0,130,9.311573467819507,23,232.0
210,211.0,136,10.139416610517838,21,125.0
220,221.0,139,9.48869763718357,29,205.0
230,231.0,145,8.945287655443618,36,333.0
240,241.0,149,9.227555293107962,25,363.0
250,251.0,151,10.30020902147567,25,338.0
260,261.0,155,7.9760987692628795,42,536.0
270,271.0,158,8.130650700550376,40,265.0
280,281.0,157,8.830433062295983,28,93.0
290,291.0,160,9.680421193183191,35,220.0
300,301.0,158,9.18615057221476,32,308.0
310,311.0,158,9.231394856294024,21,99.0
320,321.0,157,10.257152347223034,30,196.0
330,331.0,162,9.582528567392593,32,291.0
340,341.0,161,9.648200742408276,31,322.0
350,351.0,159,9.723548534262491,31,345.0
360,361.0,156,8.703035152447741,43,426.0
370,371.0,164,8.871672707090843,42,426.0
380,381.0,161,9.026956873102437,34,408.0
390,391.0,161,8.127106325369489,39,470.0
400,401.0,167,8.019359897084941,53,537.0
410,411.0,169,7.966552406046681,55,816.0
420,421.0,170,7.789437074151579,48,776.0
430,431.0,168,7.983699117948439,45,665.0
440,441.0,169,8.015384060091488,43,651.0
450,451.0,169,8.800978376346192,45,616.0
460,461.0,166,8.74897015865961,51,838.0
470,471.0,168,8.684425473040186,38,1030.0
480,481.0,172,8.73098705556639,47,1034.0
490,491.0,177,8.476979309848979,56,1284.0
