step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.788512157083634,12,50.0
120,121.0,84,9.125732327615932,23,177.0
130,131.0,90,9.669702349446865,21,261.0
140,141.0,99,8.500646169540513,27,340.0
150,151.0,105,9.387390858444464,23,263.0
160,161.0,111,9.915155056331747,18,83.0
170,171.0,114,9.926028802858884,21,89.0
180,181.0,119,9.327662654484294,25,154.0
190,191.0,127,9.034767986822045,28,195.0
200,201.0,132,9.986281857762574,25,231.0
210,211.0,138,9.482898804474257,28,289.0
220,221.0,143,8.575210027221877,38,437.0
230,231.0,147,8.578325112078664,40,591.0
240,241.0,150,7.996817430459729,35,515.0
250,251.0,152,8.946946530464981,30,458.0
260,261.0,157,8.53842929117613,43,681.0
270,271.0,158,8.532603604236785,34,297.0
280,281.0,158,9.274036703972278,33,202.0
290,291.0,161,9.962579574897838,39,342.0
300,301.0,158,9.499522962635671,38,454.0
310,311.0,164,9.24506473588709,33,341.0
320,321.0,164,9.49399627447881,31,356.0
330,331.0,167,9.839726217401095,34,389.0
340,341.0,163,8.711622150070475,46,595.0
350,351.0,164,8.64564230928392,42,516.0
360,361.0,165,9.018288404527615,33,367.0
370,371.0,169,9.330858476502641,37,406.0
380,381.0,166,8.869566978503846,42,357.0
390,391.0,169,8.239821692197536,39,492.0
400,401.0,169,8.467666053034307,46,497.0
410,411.0,164,8.10938991389821,50,424.0
420,421.0,168,7.208413499282172,55,674.0
430,431.0,169,7.475871640834227,59,951.0
440,441.0,173,7.986053947065362,45,581.0
450,451.0,171,8.654992435837391,46,659.0
460,461.0,171,8.7583272914984,47,812.0
470,471.0,174,8.860883452053342,40,849.0
480,481.0,178,8.89953577131393,55,1041.0
490,491.0,182,8.487761468066909,60,1204.0
