step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.852870969963499,12,50.0
120,121.0,84,9.57269051536158,21,145.0
130,131.0,90,10.173054511150466,20,222.0
140,141.0,99,8.714851509254935,25,230.0
150,151.0,105,8.689109508540088,26,289.0
160,161.0,111,9.21743876848372,20,115.0
170,171.0,114,10.202169876047725,19,87.0
180,181.0,122,9.759240355367897,26,176.0
190,191.0,128,9.049825063280004,28,210.0
200,201.0,133,9.605880214889757,24,178.0
210,211.0,136,9.616239330727506,24,166.0
220,221.0,141,9.115255670162238,32,262.0
230,231.0,146,8.719885430151885,36,345.0
240,241.0,150,8.523760126009394,37,410.0
250,251.0,153,8.874538034818029,35,517.0
260,261.0,158,8.253584462976212,46,745.0
270,271.0,160,8.529281658427589,27,256.0
280,281.0,156,9.219905482860387,26,97.0
290,291.0,160,9.795873238062537,30,214.0
300,301.0,155,9.772484693111972,32,276.0
310,311.0,158,10.126732506099101,22,133.0
320,321.0,158,9.765341788927644,34,266.0
330,331.0,164,9.364105316038593,43,532.0
340,341.0,163,8.86061368915927,40,541.0
350,351.0,159,9.369374799475171,30,324.0
360,361.0,157,9.513290272198363,34,334.0
370,371.0,160,10.340120671813546,28,250.0
380,381.0,158,8.797662329374514,35,336.0
390,391.0,164,8.475900463102091,36,351.0
400,401.0,168,8.15041676775412,53,536.0
410,411.0,169,7.742862286781148,51,696.0
420,421.0,166,7.5632985005504985,49,668.0
430,431.0,167,8.721548386686605,45,704.0
440,441.0,169,8.293869005661177,50,745.0
450,451.0,171,8.58258453329293,46,589.0
460,461.0,175,8.516596103303453,57,885.0
470,471.0,176,8.615143742292014,42,975.0
480,481.0,179,8.351629971662437,58,1084.0
490,491.0,177,7.8683777718520584,51,714.0
