step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,8,7.1501042687393115,1,0.0
20,21.0,18,8.261647720550362,1,2.0
30,31.0,24,11.338074312109953,1,0.0
40,41.0,31,9.846474748671794,4,0.0
50,51.0,37,9.287899735248901,7,3.0
60,61.0,45,10.104735648502478,6,6.0
70,71.0,51,10.87291481576327,5,11.0
80,81.0,58,10.433752931056306,6,24.0
90,91.0,63,10.449523653422286,8,20.0
100,101.0,71,10.400068075212971,8,50.0
110,111.0,77,10.852870969963499,12,50.0
120,121.0,84,9.25866707497558,24,171.0
130,131.0,90,9.603488138081088,23,278.0
140,141.0,99,8.189607410014329,30,370.0
150,151.0,105,8.687613315647166,25,277.0
160,161.0,111,9.544828172980818,19,110.0
170,171.0,115,10.209024523405805,17,79.0
180,181.0,121,9.35520722720063,29,183.0
190,191.0,128,8.73690215811385,31,229.0
200,201.0,131,9.715188284017621,23,180.0
210,211.0,137,9.756881841777911,25,228.0
220,221.0,142,9.252016568451973,27,300.0
230,231.0,146,9.043547559140364,31,363.0
240,241.0,149,8.652933336390106,31,345.0
250,251.0,153,8.772844619477512,37,477.0
260,261.0,158,8.380564288441434,50,748.0
270,271.0,161,9.097206618881332,33,419.0
280,281.0,158,8.60425058869719,38,356.0
290,291.0,160,8.908458418196641,47,488.0
300,301.0,160,8.541462325196722,48,572.0
310,311.0,163,8.248791046617098,42,556.0
320,321.0,163,9.338568755330071,36,503.0
330,331.0,167,9.863452856032483,32,322.0
340,341.0,166,9.9669443055341,34,425.0
350,351.0,165,9.266931142969407,39,479.0
360,361.0,167,8.605633305483806,43,408.0
370,371.0,167,8.54740052078228,43,427.0
380,381.0,169,9.27558902548196,40,518.0
390,391.0,170,8.251380613277433,37,463.0
400,401.0,173,8.051520861792069,59,549.0
410,411.0,171,7.981483186341824,49,552.0
420,421.0,173,8.576174830401385,39,505.0
430,431.0,168,8.95524548542529,46,730.0
440,441.0,174,8.871706605265723,34,505.0
450,451.0,172,8.628268366252394,49,519.0
460,461.0,171,8.967308121514748,51,754.0
470,471.0,171,8.9994285013589,38,731.0
480,481.0,177,7.602334752741342,60,949.0
490,491.0,177,7.796016948702923,53,854.0
500,501.0,180,8.660628529928035,47,909.0
