step,time,active_vehicles,mean_speed_network,total_queue_len,total_waiting_time_snapshot
0,1.0,2,0.0,2,0.0
10,11.0,11,5.200075831810408,4,0.0
20,21.0,22,6.7595299531775686,5,2.0
30,31.0,29,9.383233913470306,6,0.0
40,41.0,36,8.474833387708774,9,0.0
50,51.0,42,8.292535283578934,12,3.0
60,61.0,50,8.982802727902369,11,5.0
70,71.0,56,9.75523878839508,11,15.0
80,81.0,63,9.395503174792001,12,38.0
90,91.0,68,9.574178803895682,14,50.0
100,101.0,77,9.38829398855634,15,90.0
110,111.0,83,9.484911539956556,19,92.0
120,121.0,91,9.127237847865565,21,136.0
130,131.0,96,10.13250962800528,21,155.0
140,141.0,104,9.447226467531966,22,152.0
150,151.0,110,10.165556324463155,20,142.0
160,161.0,116,8.47124733272634,31,230.0
170,171.0,118,8.81180095680219,22,154.0
180,181.0,125,8.879371425115878,31,227.0
190,191.0,129,8.685749257610397,33,314.0
200,201.0,134,9.952010848615169,22,222.0
210,211.0,141,9.910459641900795,25,244.0
220,221.0,145,9.741132696487627,30,319.0
230,231.0,149,9.33852130929908,35,335.0
240,241.0,152,9.04482933077927,29,305.0
250,251.0,156,9.142026470405877,32,349.0
260,261.0,159,8.958266941884899,40,468.0
270,271.0,158,8.892949228642292,34,479.0
280,281.0,155,8.28942680311751,35,430.0
290,291.0,159,9.156827759780091,44,600.0
300,301.0,159,9.604373972373386,36,274.0
310,311.0,162,9.392118761265033,30,132.0
320,321.0,160,9.381014899588632,38,180.0
330,331.0,168,9.479415613386186,34,261.0
340,341.0,170,9.73684821584863,43,431.0
350,351.0,168,8.998788715069724,38,282.0
360,361.0,169,9.010540721770495,43,280.0
370,371.0,172,8.802030326820962,43,360.0
380,381.0,171,8.406107707888822,44,432.0
390,391.0,171,7.872030249250747,42,367.0
400,401.0,169,7.558844949360706,60,531.0
410,411.0,169,7.862674363026016,56,776.0
420,421.0,171,7.5665719226989125,48,897.0
430,431.0,170,8.1446452551919,47,782.0
440,441.0,174,7.777477363537168,52,758.0
450,451.0,173,7.893847855077103,61,1065.0
460,461.0,170,8.757013434510242,52,1125.0
470,471.0,173,8.380604006026475,38,1106.0
480,481.0,177,7.9960189494938,50,1279.0
490,491.0,179,8.354190719380778,59,1537.0
500,501.0,177,7.815306102044971,56,1579.0
510,511.0,181,7.827878206440501,58,1674.0
520,521.0,180,7.169925961695511,69,2047.0
530,531.0,178,7.405782677832454,65,2370.0
540,541.0,174,7.554065299154697,59,2478.0
550,551.0,177,7.255136432098575,65,2647.0
560,561.0,173,6.746190398450733,74,3045.0
570,571.0,174,6.43049866748956,77,3192.0
580,581.0,180,7.571325271738994,55,2723.0
590,591.0,188,7.343988393691591,72,3050.0
600,601.0,188,7.2227474235948,68,3429.0
610,611.0,192,6.881187020645096,76,3835.0
620,621.0,200,7.254492678613564,65,3452.0
630,631.0,206,7.495715683068676,77,3791.0
640,641.0,205,6.902783788576379,77,4030.0
650,651.0,209,7.225083984341283,77,4337.0
660,661.0,211,6.95562501919676,76,4306.0
670,671.0,214,7.551864842483453,75,4653.0
680,681.0,213,7.3251745256706595,78,4876.0
690,691.0,215,7.573788079365924,68,3858.0
700,701.0,213,7.221141427253151,71,2501.0
710,711.0,213,7.338666486588051,70,2788.0
720,721.0,216,7.898673591497425,81,3204.0
730,731.0,217,7.879526740397698,75,3403.0
740,741.0,219,7.396184871492961,75,3033.0
750,751.0,221,7.722724285258589,84,3502.0
760,761.0,223,7.903768151404639,86,3885.0
770,771.0,224,7.493763432873026,79,4071.0
780,781.0,227,7.320334448238374,82,4112.0
790,791.0,227,7.244581673661064,91,4627.0
800,801.0,231,7.417996365458499,80,4244.0
810,811.0,231,7.349564213938629,60,1319.0
820,821.0,228,7.064350669990636,80,1602.0
830,831.0,230,7.80908380663247,75,1779.0
840,841.0,233,7.554533596804831,73,2039.0
850,851.0,231,7.041463567453156,79,2209.0
